,Token,Speaker,Topic,Kanji
56,art,10,10,芸術
69,aware,14,14,気づく
74,bad,10,10,悪い
132,case,18,18,場合
171,come,12,12,来る
200,cry,14,14,人声
212,day,17,17,日
213,deal,11,11,扱う
225,depress,74,74,鬱
235,different,27,27,別
236,difficult,10,10,苦しい
271,end,11,11,切り
287,everyone,13,13,皆
288,everything,11,11,全て
298,explain,10,10,説明
316,feel,83,83,感じ
337,friend,16,16,友
355,good,17,17,良い
383,help,16,16,助け
438,japan,11,11,日本
453,know,63,63,知る
471,life,13,13,暮らし
483,look,26,26,観る
493,make,24,24,作る
540,need,16,16,必要
563,open,12,12,明ける
576,paint,27,27,絵
585,people,98,98,人たち
587,person,20,20,人
591,photograph,11,11,写真
619,problem,10,10,問題
682,sad,13,13,悲しい
683,said,12,12,言った
691,see,15,15,覧る
697,sensitive,10,10,敏感
702,share,12,12,共に
709,show,10,10,見せる
738,someone,18,18,誰か
739,something,29,29,何か
757,start,16,16,始め
772,stuff,14,14,物事
794,talk,16,16,話す
798,tell,10,10,語る
808,thing,21,21,物
809,think,37,37,思い
811,thought,12,12,思考
813,time,19,19,時
834,try,25,25,努める
841,understand,16,16,理解
847,use,26,26,利用
867,want,12,12,欲求
871,way,22,22,仕方
894,work,19,19,仕事
