,topic,key,conv_value,jina_share,anisa_share
598,Art,look,0.05787456898953194,0.577708845865868,0.422291154134132
562,Art,feel,0.05383220151170925,0.5081646734130635,0.4918353265869365
552,Art,paint,0.04681222491163125,0.12985982544300448,0.8701401745569954
573,Art,depress,0.04364890212270721,0.626719614239115,0.37328038576088496
592,Art,think,0.03656702096707297,0.49873031995937017,0.5012696800406298
959,Experiences,feel,0.0712752029327049,0.7538574577516532,0.2461425422483468
929,Experiences,depress,0.04317884262896046,0.5530624620982414,0.44693753790175866
1026,Experiences,peopl,0.04158156585493585,0.07178841309823676,0.9282115869017632
951,Experiences,know,0.030714846818538886,0.4859335038363171,0.5140664961636828
962,Experiences,thing,0.024744697564807544,0.3619047619047619,0.638095238095238
24,Exhibition,peopl,0.08904530308639898,0.3653673517599811,0.634632648240019
28,Exhibition,know,0.055429807142135905,0.40159392789373816,0.5984060721062618
0,Exhibition,depress,0.05200514960788933,0.36218752528112613,0.6378124747188739
36,Exhibition,feel,0.04586264346538319,0.41069626639757817,0.5893037336024218
179,Exhibition,someon,0.021591329810507893,0.3172252533125487,0.6827747466874513
